crop,N,P,K,temperature,humidity,ph,rainfall,yield
Mango,108.83,78.51,185.4,40.09,42.83,5.48,109.4,9.47
Watermelon,84.54,39.24,54.02,20.37,78.08,6.36,44.17,41.29
Grapes,120.86,49.4,112.25,17.93,75.66,6.07,63.04,24.15
Pigeonpeas,16.5,69.36,20.56,26.42,58.71,6.25,125.89,1.79
Maize,138.07,53.1,49.35,19.22,80.19,6.33,74.78,4.12
Muskmelon,61.92,45.39,46.64,25.22,82.66,5.86,16.58,26.16
Pomegranate,103.11,49.74,49.15,27.98,100.0,7.03,100.72,20.01
Pomegranate,79.35,41.24,31.68,21.23,100.0,5.79,101.93,14.59
Pomegranate,103.31,45.51,55.95,20.68,84.09,5.86,121.0,22.21
Cotton,115.23,27.21,57.11,20.04,63.16,6.79,177.27,2.7
Cotton,76.5,47.66,50.11,21.42,95.79,6.86,87.08,2.36
Maize,140.27,81.42,55.91,18.85,76.26,5.99,87.18,5.39
Kidneybeans,17.97,77.12,18.54,17.19,23.29,5.93,82.26,1.39
Banana,198.96,109.5,299.57,24.8,79.23,6.01,81.08,49.28
Banana,176.56,86.66,372.19,26.22,90.97,6.78,102.74,41.97
Jute,54.37,31.78,77.68,28.84,71.1,6.59,160.41,2.92
Mango,136.03,114.74,162.29,29.81,41.58,5.89,99.3,10.06
Kidneybeans,14.76,70.12,19.36,14.71,10.0,5.38,87.05,1.19
Mothbeans,20.44,45.8,21.43,24.85,62.76,7.51,41.9,0.89
Coconut,28.74,17.27,23.12,25.71,78.11,6.3,137.23,12.8
Coffee,129.63,79.6,99.42,26.51,60.24,6.28,215.77,1.46
Grapes,110.21,58.59,112.78,22.52,72.28,7.03,59.85,25.27
Mango,157.64,97.0,176.03,31.74,62.47,6.12,106.63,11.64
Apple,98.78,68.2,34.59,19.15,92.51,6.31,119.49,30.25
Blackgram,15.71,68.59,19.43,31.32,69.1,7.15,49.38,1.16
Muskmelon,93.58,34.61,43.54,28.76,83.23,6.03,31.93,25.3
Mungbean,20.44,43.48,19.68,33.02,85.93,6.13,48.52,0.75
Pigeonpeas,16.51,82.54,18.42,33.59,58.63,5.46,192.59,1.45
Mungbean,12.25,43.34,17.34,32.5,82.36,7.34,54.26,0.92
Pomegranate,114.6,65.26,41.45,19.48,94.53,6.35,101.55,16.23
Banana,199.83,112.98,300.59,27.11,68.9,5.2,107.66,37.51
Maize,152.55,69.16,48.07,21.62,58.42,6.91,93.6,5.5
Maize,131.14,59.81,64.13,16.18,62.86,6.11,65.34,4.84
Watermelon,65.78,51.53,46.67,26.72,81.21,6.48,50.42,32.55
Chickpea,44.08,70.45,80.53,17.01,12.55,7.45,84.0,2.01
Banana,229.83,79.35,285.41,29.7,80.9,5.67,93.22,44.84
Mango,155.14,84.72,91.23,29.54,52.27,4.33,108.8,9.21
Watermelon,74.98,47.84,59.74,30.43,97.18,5.57,53.63,29.81
Papaya,191.88,99.2,174.94,33.47,81.45,7.0,87.02,55.12
Apple,138.66,52.23,48.89,27.38,100.0,6.23,110.96,28.79
Mothbeans,17.99,42.81,18.04,26.61,44.29,6.91,50.09,0.71
Kidneybeans,19.09,67.52,21.17,24.33,25.29,5.52,63.92,1.17
Mungbean,20.11,38.48,19.61,26.39,83.49,6.2,50.42,1.04
Muskmelon,65.85,38.77,52.83,26.96,79.69,6.17,28.88,22.5
Mango,142.45,84.45,162.1,28.61,52.13,5.17,70.87,10.28
Kidneybeans,21.1,67.75,18.56,19.27,34.27,5.21,128.32,1.24
Banana,201.62,113.91,268.92,23.84,96.23,7.25,115.19,43.06
Grapes,98.82,55.19,110.94,25.07,88.79,7.0,81.25,25.36
Blackgram,13.25,58.6,17.74,25.24,53.75,7.26,70.85,0.91
Blackgram,12.92,67.7,16.8,27.47,74.72,7.03,30.05,1.16
Banana,261.15,87.85,236.77,23.33,91.51,5.18,125.59,37.81
Muskmelon,47.36,44.37,55.95,30.45,94.14,6.57,25.63,22.37
Pigeonpeas,19.67,57.31,12.58,31.15,49.49,5.63,89.76,1.28
Rice,74.98,41.03,45.61,22.39,80.15,5.78,222.54,3.35
Cotton,117.63,51.7,56.36,24.68,83.25,6.83,99.83,3.07
Kidneybeans,19.23,51.97,26.01,16.98,24.02,5.66,141.01,1.21
Blackgram,14.43,55.2,16.07,24.71,71.74,7.67,51.89,1.12
Cotton,77.32,53.45,40.45,17.81,71.97,6.91,161.1,2.24
Kidneybeans,17.0,62.72,20.79,17.3,20.73,6.5,93.24,1.03
Coconut,29.11,18.66,33.51,23.07,100.0,6.09,178.29,14.18
Papaya,190.14,118.36,153.89,36.91,80.86,6.13,114.55,58.79
Muskmelon,78.56,55.93,39.98,29.7,88.55,7.02,28.05,24.34
Maize,119.27,71.71,49.39,20.36,51.11,6.68,50.91,4.7
Mango,189.17,119.37,143.41,39.56,32.39,6.04,110.72,9.88
Mothbeans,18.62,57.41,20.7,31.32,25.97,6.63,51.16,0.88
Pigeonpeas,21.08,85.4,20.01,27.29,51.21,6.11,172.13,1.66
Mungbean,14.39,48.78,24.16,32.75,100.0,6.63,39.67,0.94
Mungbean,20.83,51.33,17.84,30.53,79.73,6.99,48.44,1.11
Orange,119.41,51.58,88.31,25.37,89.56,6.57,100.75,17.78
Rice,97.38,32.53,33.45,24.63,85.06,6.51,167.19,3.92
Lentil,19.56,61.68,17.05,25.08,54.23,7.31,47.58,1.11
Banana,235.43,101.84,294.69,29.85,91.22,5.42,131.86,50.29
Orange,112.54,59.96,68.07,25.37,96.74,6.51,79.29,18.11
Mungbean,27.7,39.53,19.29,31.81,83.27,6.67,56.22,1.35
Orange,97.19,71.28,79.42,19.38,77.96,7.79,125.2,17.84
Chickpea,36.47,53.06,82.68,18.43,21.19,7.31,101.26,1.6
Banana,251.84,97.2,342.69,25.69,74.36,6.18,93.26,58.37
Kidneybeans,20.44,66.08,20.51,20.41,21.71,5.69,112.5,1.38
Watermelon,75.38,33.28,52.58,21.35,100.0,7.01,41.39,27.3
Coffee,119.78,78.35,69.58,30.66,55.58,6.74,151.37,1.39
Mothbeans,16.02,41.44,16.78,29.58,52.1,7.6,52.2,0.8
Grapes,123.39,63.51,99.81,21.36,88.42,6.61,78.47,24.6
Coconut,23.25,21.12,26.35,23.0,99.27,4.81,150.1,12.08
Blackgram,17.52,60.63,16.24,24.76,58.06,7.35,52.52,1.24
Muskmelon,67.35,50.79,39.4,23.27,93.51,6.75,22.69,21.97
Banana,160.89,103.26,287.14,27.65,68.27,6.21,119.22,39.03
Jute,47.06,45.39,47.44,21.11,79.9,7.87,156.63,2.04
Coffee,123.58,90.41,72.79,28.94,49.53,7.33,178.65,1.3
Chickpea,31.76,76.09,91.39,10.65,10.0,7.06,98.91,2.51
