crop,N,P,K,temperature,humidity,ph,rainfall,yield
Watermelon,56.66,48.58,56.66,28.62,71.46,4.71,27.71,39.38
Cotton,132.22,43.88,51.79,28.56,84.76,7.51,200.69,2.25
Pomegranate,160.34,62.49,68.75,25.81,100.0,5.61,153.94,19.93
Mothbeans,21.54,47.48,20.89,25.73,29.17,7.75,59.2,0.73
Mungbean,16.68,39.17,30.39,26.49,81.62,6.79,53.23,0.89
Cotton,120.73,31.75,55.8,17.92,71.4,7.1,136.72,2.53
Banana,235.63,108.35,309.17,29.04,95.2,5.58,89.5,48.92
Mothbeans,23.69,39.95,22.79,23.26,66.27,8.53,53.27,0.92
Jute,93.78,38.41,44.07,16.3,53.43,6.64,210.54,2.72
Banana,173.88,104.73,337.97,23.75,99.91,6.08,128.84,47.86
Mango,135.76,111.04,120.37,31.78,65.17,5.37,103.52,9.11
Coffee,131.49,77.95,84.31,31.79,52.75,6.9,187.45,1.75
Pigeonpeas,19.8,64.8,13.39,28.95,31.48,5.93,218.28,1.48
Pomegranate,128.14,52.81,73.67,22.89,76.86,6.33,111.91,19.59
Lentil,15.48,32.41,13.59,27.75,73.22,6.81,58.02,1.24
Pigeonpeas,16.92,82.97,25.88,17.23,49.4,5.9,137.89,1.33
Pigeonpeas,29.6,47.45,13.89,23.43,35.41,5.33,109.81,1.84
Watermelon,90.25,45.23,52.14,27.31,82.53,5.67,52.38,31.68
Muskmelon,76.44,48.82,50.42,28.14,92.92,6.96,13.03,32.25
Mothbeans,19.52,32.49,23.74,28.63,59.19,6.5,41.46,1.22
Cotton,135.2,52.56,31.75,22.96,68.11,6.69,161.91,2.32
Papaya,172.64,105.51,155.58,36.97,69.35,5.91,118.27,50.5
Apple,120.44,59.51,56.55,20.13,96.59,6.18,123.24,30.77
Grapes,109.61,60.68,109.07,26.27,94.48,5.1,64.19,22.81
Rice,73.75,48.94,35.67,25.47,61.04,5.56,306.17,2.92
Orange,115.77,57.97,59.33,26.26,100.0,7.49,99.57,23.78
Blackgram,13.34,37.95,19.93,32.9,43.54,7.55,81.02,1.31
Watermelon,134.74,51.58,41.03,17.95,60.59,6.26,63.59,39.69
Grapes,95.32,68.23,112.52,22.02,72.9,5.41,85.57,24.42
Papaya,158.42,100.71,90.59,29.77,86.08,7.14,133.41,47.61
Rice,80.4,23.77,41.31,24.63,64.9,6.39,125.15,3.41
Watermelon,100.23,61.03,51.57,21.69,100.0,6.38,57.5,46.61
Jute,73.42,34.27,39.03,25.66,69.32,7.3,92.97,2.9
Lentil,22.01,36.04,20.24,18.02,55.9,5.98,29.79,1.55
Coconut,130.89,54.39,156.77,24.43,100.0,5.55,187.6,12.45
Grapes,159.57,78.08,93.86,25.2,60.38,6.61,63.29,26.07
Maize,98.54,38.86,48.23,28.32,54.76,6.4,69.19,5.08
Pomegranate,171.75,87.56,68.33,27.17,95.97,7.19,133.37,17.0
Cotton,86.75,34.91,29.34,21.92,76.51,5.97,183.3,2.27
Apple,140.65,52.46,60.89,15.64,100.0,6.04,96.37,33.69
Blackgram,15.97,23.11,19.06,28.67,63.03,7.38,83.79,0.93
Coconut,126.14,45.73,178.55,25.51,88.55,5.84,205.65,12.53
Kidneybeans,22.66,71.46,26.2,18.34,35.11,5.82,105.05,1.5
Coconut,67.8,66.22,165.88,28.29,91.85,6.53,147.95,12.73
Banana,204.98,70.29,335.48,27.05,73.08,4.79,138.64,40.27
Lentil,25.26,38.71,27.15,19.95,66.04,7.47,49.56,1.41
Apple,137.82,74.09,51.13,19.21,93.18,4.69,115.42,25.29
Papaya,159.7,121.71,148.76,36.34,99.54,6.99,124.24,57.02
Watermelon,64.56,61.16,42.11,18.8,88.06,6.98,37.61,34.54
Mungbean,19.91,51.45,13.57,30.02,75.05,7.5,41.62,1.11
Mothbeans,18.73,39.6,21.34,31.46,34.27,6.57,39.4,0.86
Lentil,18.05,37.55,23.27,29.43,48.72,7.37,23.98,1.2
Blackgram,13.11,47.62,15.47,30.45,64.48,6.47,61.94,1.3
Apple,115.77,71.12,68.25,17.6,70.77,6.13,145.62,36.66
Coconut,110.02,62.99,124.91,21.43,84.03,6.12,149.11,13.36
Coffee,119.79,66.44,99.85,18.93,85.29,7.14,148.25,1.38
Jute,89.14,43.0,47.74,24.82,92.94,7.55,153.27,2.96
Rice,95.66,42.46,32.24,25.48,85.27,7.6,254.31,3.25
Mungbean,22.61,46.47,24.87,36.68,100.0,6.7,36.21,1.15
Watermelon,63.83,55.09,64.39,18.8,80.18,6.43,66.47,35.99
Mothbeans,15.27,51.02,19.26,21.95,61.98,6.53,49.51,1.06
Grapes,73.84,57.53,110.25,22.41,100.0,7.15,81.14,19.66
Jute,59.59,22.52,50.69,20.04,61.11,7.15,91.01,2.99
Rice,101.94,34.28,23.93,21.38,94.66,5.64,287.58,3.51
Mothbeans,25.39,42.57,20.48,23.53,43.27,8.04,61.98,1.08
Mango,109.03,73.01,167.67,39.15,43.6,6.7,60.37,11.71
Mothbeans,22.46,43.31,19.69,28.73,46.36,6.38,54.29,0.9
Blackgram,14.96,41.07,15.92,30.09,57.7,6.62,40.49,1.22
Mango,157.07,121.21,148.16,30.87,27.1,5.37,93.32,10.92
Apple,109.81,35.52,56.25,25.28,100.0,4.09,197.94,35.13
Cotton,115.15,54.38,59.83,24.75,82.9,7.48,214.23,2.95
Kidneybeans,15.26,46.43,14.11,14.49,29.97,5.6,97.47,1.42
Orange,114.81,64.64,59.47,20.32,100.0,6.94,138.55,18.51
Pigeonpeas,20.95,54.33,19.34,31.4,48.8,5.67,185.48,1.63
Rice,73.42,35.82,30.64,24.37,79.4,6.73,251.9,4.24
Chickpea,16.63,72.65,11.58,17.62,22.83,5.79,105.52,1.62
Mango,126.77,106.78,122.92,32.21,37.37,5.42,119.72,12.58
Lentil,22.74,44.77,22.25,26.2,54.98,6.9,66.03,1.34
Maize,104.94,59.52,29.2,21.14,60.35,6.93,96.43,5.68
Jute,84.43,37.91,52.52,21.14,74.99,5.48,158.83,3.7
Mothbeans,18.96,34.06,14.3,32.9,59.89,7.09,30.01,1.02
Banana,140.66,88.98,277.94,32.79,87.57,6.03,103.63,32.07
Rice,90.73,42.16,32.82,26.9,75.47,6.76,255.66,3.67
Muskmelon,85.55,50.47,58.99,31.03,93.55,6.78,31.81,30.88
Jute,74.32,39.43,33.72,22.69,80.87,6.01,185.46,2.37
Papaya,110.06,130.51,159.18,33.9,100.0,7.63,208.83,56.76
