crop,N,P,K,temperature,humidity,ph,rainfall,yield
Rice,75,20,27,21.3,89.8,7.26,252.7,3.34
Rice,63,20,26,24.1,66.5,6.79,207.6,3.45
Rice,52,36,42,19.3,92.0,6.19,254.7,3.54
Rice,93,29,22,20.1,93.4,7.1,245.8,3.66
Rice,70,47,30,24.5,92.8,7.21,247.2,3.8
Rice,79,21,26,22.0,68.2,5.72,210.8,3.4
Rice,75,30,30,21.2,74.4,6.79,277.2,3.64
Rice,49,40,24,22.8,98.1,6.61,249.2,3.62
Rice,87,41,26,19.5,75.9,5.94,214.1,3.89
Rice,89,28,38,23.0,95.6,6.04,232.1,3.69
Rice,71,27,36,27.8,78.7,7.47,209.5,3.6
Rice,45,21,23,25.2,91.6,5.65,228.7,3.29
Rice,95,34,47,27.5,66.0,6.85,256.8,3.84
Rice,54,37,23,23.4,80.5,7.23,278.8,3.45
Rice,68,25,45,27.6,75.4,6.71,249.1,3.57
Rice,82,35,41,24.3,65.6,5.56,219.4,3.96
Rice,89,43,28,19.8,94.4,5.69,278.2,3.69
Rice,43,41,41,20.4,81.2,6.04,240.7,3.87
Rice,63,25,35,26.2,72.2,7.47,218.2,3.59
Rice,64,34,23,21.4,76.7,5.97,244.3,3.47
Rice,43,37,26,27.9,93.8,5.99,195.5,3.48
Rice,51,23,46,24.7,81.1,7.1,262.9,3.51
Rice,45,32,31,23.7,89.5,7.44,252.4,3.39
Rice,62,29,44,21.6,71.8,6.35,231.1,3.65
Rice,53,45,32,27.5,83.7,7.47,193.6,3.75
Rice,94,45,43,20.8,81.5,6.31,209.0,3.82
Rice,61,47,27,26.7,80.5,7.39,228.7,3.88
Rice,71,40,24,22.0,97.4,6.58,243.5,3.76
Rice,43,36,34,27.4,70.8,5.68,279.5,3.37
Rice,73,38,26,20.4,94.8,6.68,212.0,3.67
Rice,63,36,34,28.2,72.3,5.99,256.4,3.59
Rice,77,28,28,26.4,68.0,7.47,232.1,3.75
Rice,44,25,27,28.2,94.5,6.25,271.8,3.22
Rice,86,39,37,28.7,87.1,7.12,189.5,3.69
Rice,77,46,23,20.3,69.1,6.06,241.0,3.73
Rice,80,25,37,21.7,81.6,7.17,274.3,3.52
Rice,63,27,20,26.6,86.5,6.97,213.5,3.47
Rice,63,20,22,27.7,95.2,7.15,240.3,3.39
Rice,48,23,28,27.8,91.7,7.28,270.1,3.24
Rice,53,22,41,27.7,78.9,5.83,247.4,3.71
Rice,88,47,42,27.7,66.4,6.17,258.3,4.07
Rice,84,44,42,21.8,91.4,7.23,199.0,4.03
